Date,Open,High,Low,Close,Volume
12/30/2022,"51.86","51.93","50.75","51.24","42,455,160"
12/23/2022,"51.52","52.16","50.70","51.83","66,931,390"
12/16/2022,"52.12","54.93","51.40","51.40","171,574,087"
12/09/2022,"50.91","52.84","49.18","51.72","101,727,127"
12/02/2022,"49.18","51.33","49.04","50.91","113,912,672"
11/25/2022,"48.10","49.25","47.72","49.21","48,565,472"
11/18/2022,"47.99","49.82","47.53","48.23","101,042,790"
11/11/2022,"47.16","47.75","46.31","47.60","95,097,479"
11/04/2022,"47.08","48.42","46.16","47.22","131,042,422"
10/28/2022,"45.08","47.52","44.89","47.43","117,743,768"
10/21/2022,"43.19","45.16","42.74","44.95","112,466,521"
10/14/2022,"42.35","43.38","41.45","42.86","97,791,581"
10/07/2022,"44.07","44.84","41.92","42.32","108,869,739"
09/30/2022,"43.81","44.81","43.67","43.76","93,297,601"
09/23/2022,"45.68","45.88","43.52","44.08","86,510,141"
09/16/2022,"48.08","48.35","45.64","46.03","93,941,970"
09/09/2022,"45.96","47.99","45.38","47.84","68,312,699"
09/02/2022,"46.38","46.80","45.13","45.70","90,735,549"
08/26/2022,"49.21","49.40","46.70","46.82","76,408,270"
08/19/2022,"49.97","50.18","48.38","49.15","76,546,220"
08/12/2022,"49.39","50.39","47.81","50.11","115,412,435"
08/05/2022,"50.32","51.47","49.06","49.27","87,414,829"
07/29/2022,"51.34","52.85","49.10","50.51","112,854,637"
07/22/2022,"51.96","51.97","50.18","51.23","67,955,320"
07/15/2022,"53.00","53.74","50.43","51.75","74,395,341"
07/08/2022,"51.75","53.92","50.40","53.17","68,883,710"
07/01/2022,"51.48","52.89","50.41","52.31","96,177,710"
06/24/2022,"47.32","51.64","46.95","51.59","84,411,861"
06/17/2022,"48.82","49.28","46.28","46.53","141,499,518"
06/10/2022,"53.19","54.56","49.95","49.97","85,835,688"
06/03/2022,"53.32","53.53","51.04","53.20","123,517,093"
05/27/2022,"52.58","54.92","52.48","53.91","119,693,360"
05/20/2022,"49.87","52.70","49.59","52.47","112,745,638"
05/13/2022,"48.38","50.79","47.77","49.92","137,939,871"
05/06/2022,"47.68","50.04","47.46","49.04","146,783,437"
04/29/2022,"47.85","50.77","47.12","49.07","135,147,332"
04/22/2022,"52.83","53.11","47.90","48.13","116,520,745"
04/14/2022,"55.46","56.32","52.65","53.12","77,882,970"
04/08/2022,"51.78","55.58","50.37","55.17","134,303,692"
04/01/2022,"52.53","54.08","51.10","51.57","134,561,763"
03/25/2022,"54.24","55.30","52.16","52.78","138,642,710"
03/18/2022,"50.72","55.00","50.39","54.51","184,791,639"
03/11/2022,"48.25","50.90","46.47","50.27","149,047,792"
03/04/2022,"46.82","48.77","45.44","48.65","165,442,947"
02/25/2022,"47.54","48.31","45.40","47.72","136,034,330"
02/18/2022,"49.82","50.78","48.20","48.53","147,993,753"
02/11/2022,"53.30","53.58","49.69","50.78","208,001,110"
02/04/2022,"54.00","54.14","52.39","53.00","146,135,219"
01/28/2022,"51.75","54.67","49.82","54.33","208,256,353"
01/21/2022,"54.50","54.87","52.46","52.79","139,071,678"
01/14/2022,"55.71","57.43","54.51","54.95","150,420,300"
01/07/2022,"58.50","58.55","53.94","55.72","241,906,412"
