Date,Open,High,Low,Close,Volume
12/30/2022,"51.29","51.40","50.75","51.24","11,396,190"
12/29/2022,"51.02","51.67","50.99","51.33","8,971,290"
12/28/2022,"51.05","51.39","50.75","50.80","10,053,920"
12/27/2022,"51.86","51.93","51.05","51.13","12,033,760"
12/23/2022,"51.56","51.95","51.24","51.83","10,666,540"
12/22/2022,"51.41","51.70","50.95","51.64","14,824,090"
12/21/2022,"51.61","52.16","51.20","51.66","12,925,030"
12/20/2022,"51.21","51.51","50.84","51.32","12,433,840"
12/19/2022,"51.52","51.81","50.70","51.36","16,081,890"
12/16/2022,"53.01","53.14","51.40","51.40","65,689,484"
12/15/2022,"54.07","54.43","53.40","53.61","21,630,301"
12/14/2022,"53.14","54.93","52.90","54.48","36,260,312"
12/13/2022,"53.10","54.04","52.88","53.07","29,461,760"
12/12/2022,"52.12","52.59","51.75","52.16","18,532,230"
12/09/2022,"51.75","52.84","51.63","51.72","19,933,539"
12/08/2022,"50.18","51.87","50.02","51.78","26,116,789"
12/07/2022,"49.75","51.15","49.75","50.24","15,929,940"
12/06/2022,"50.67","50.85","49.18","49.71","21,787,070"
12/05/2022,"50.91","51.03","50.35","50.73","17,959,789"
12/02/2022,"50.56","51.33","50.48","50.91","16,881,641"
12/01/2022,"50.31","51.16","50.28","51.08","23,592,590"
11/30/2022,"49.64","50.13","49.04","50.13","35,572,672"
11/29/2022,"49.50","49.67","49.10","49.49","17,160,869"
11/28/2022,"49.18","49.74","49.06","49.57","20,704,900"
11/25/2022,"48.93","49.22","48.84","49.21","6,760,162"
11/23/2022,"48.96","49.22","48.52","48.85","10,710,790"
11/22/2022,"48.34","49.25","48.24","49.08","16,358,550"
11/21/2022,"48.10","48.28","47.72","48.18","14,735,970"
11/18/2022,"48.64","48.83","47.87","48.23","20,666,480"
11/17/2022,"47.80","48.50","47.53","48.33","13,237,450"
11/16/2022,"48.80","49.06","48.05","48.05","15,822,200"
11/15/2022,"49.34","49.53","48.18","48.57","25,440,490"
11/14/2022,"47.99","49.82","47.93","49.24","25,876,170"
11/11/2022,"47.07","47.70","46.31","47.60","20,909,840"
11/10/2022,"47.53","47.75","46.85","47.38","20,480,619"
11/09/2022,"47.16","47.50","46.70","46.72","15,348,090"
11/08/2022,"47.04","47.75","46.75","47.35","18,054,520"
11/07/2022,"47.16","47.65","46.75","47.09","20,304,410"
11/04/2022,"47.47","47.54","46.61","47.22","24,528,471"
11/03/2022,"46.36","46.80","46.16","46.57","20,124,631"
11/02/2022,"47.77","48.17","46.95","47.07","25,813,070"
11/01/2022,"48.00","48.42","47.40","48.01","30,614,539"
10/31/2022,"47.08","47.39","46.54","46.55","29,961,711"
10/28/2022,"45.98","47.52","45.93","47.43","27,854,039"
10/27/2022,"45.81","46.11","45.68","45.74","20,377,730"
10/26/2022,"45.92","46.65","45.62","46.06","21,413,029"
10/25/2022,"45.27","45.82","44.89","45.59","23,126,980"
10/24/2022,"45.08","45.87","44.99","45.54","24,971,990"
10/21/2022,"43.31","45.16","42.99","44.95","36,575,711"
10/20/2022,"43.27","43.41","42.82","42.91","17,714,961"
10/19/2022,"43.91","44.07","42.74","43.11","23,054,689"
10/18/2022,"44.05","44.36","43.62","44.09","18,442,760"
10/17/2022,"43.19","43.81","43.19","43.65","16,678,400"
10/14/2022,"42.89","43.38","42.36","42.86","16,983,570"
10/13/2022,"41.76","43.16","41.70","42.98","23,135,230"
10/12/2022,"42.09","43.14","41.92","42.03","18,803,631"
10/11/2022,"41.66","42.57","41.45","41.92","20,981,150"
10/10/2022,"42.35","42.62","41.75","41.75","17,888,000"
10/07/2022,"43.05","43.05","41.92","42.32","20,095,010"
10/06/2022,"43.76","43.78","43.04","43.09","22,068,160"
10/05/2022,"44.12","44.37","43.68","44.12","15,673,440"
10/04/2022,"44.25","44.84","44.09","44.46","28,198,850"
10/03/2022,"44.07","44.28","43.49","44.14","22,834,279"
09/30/2022,"44.17","44.61","43.73","43.76","22,962,289"
09/29/2022,"44.41","44.62","43.95","44.16","13,559,860"
09/28/2022,"44.67","44.81","44.22","44.43","16,532,561"
09/27/2022,"44.22","44.58","43.74","44.09","21,562,670"
09/26/2022,"43.81","44.33","43.67","43.83","18,680,221"
09/23/2022,"44.44","44.56","43.58","44.08","18,871,670"
09/22/2022,"43.67","45.00","43.52","44.57","18,508,100"
09/21/2022,"44.81","44.98","43.90","43.92","17,505,211"
09/20/2022,"45.00","45.27","44.44","44.77","15,369,000"
09/19/2022,"45.68","45.88","44.78","45.44","16,256,160"
09/16/2022,"46.09","46.62","45.64","46.03","30,629,510"
09/15/2022,"46.11","46.29","45.70","45.94","15,801,970"
09/14/2022,"46.20","46.41","45.78","46.15","17,162,510"
